data_loader,model,workers,dl_only,sequence,seed,epoch,batch_size,batches_cnt,chan_cnt,epoch_time,batch_time,data_time,train_time,data_path
HDF5 - ,mobilenet_v2,4,False,False,1234,0,32,5,3,30.68267512321472,6.1061522483825685,2.4943241119384765,3.6118281364440916,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,0,32,3,3,1.6389927864074707,0.5114248593648275,0.18579943974812826,0.3256254196166992,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,1,32,5,3,14.784388780593872,2.9205432891845704,2.4603013515472414,0.4602419376373291,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,1,32,3,3,0.7304954528808594,0.19086011250813803,0.1758709748586019,0.014989137649536133,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,2,32,5,3,14.568233013153076,2.87667031288147,2.419479513168335,0.45719079971313475,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,2,32,3,3,0.7832396030426025,0.18715389569600424,0.17694926261901855,0.010204633076985678,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,3,32,5,3,15.230751276016235,3.0084563732147216,2.5524624824523925,0.4559938907623291,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,3,32,3,3,0.9004487991333008,0.2260137399037679,0.21593666076660156,0.010077079137166342,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,4,32,5,3,14.393189668655396,2.8414122581481935,2.3831748485565187,0.4582374095916748,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,4,32,3,3,0.7807614803314209,0.18632125854492188,0.17612012227376303,0.010201136271158854,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,0,32,5,3,34.35034203529358,6.870013999938965,3.487632179260254,3.382381820678711,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,0,32,3,3,1.459519386291504,0.48645345369974774,0.19068050384521484,0.2957729498545329,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,1,32,5,3,16.975210428237915,3.389415073394775,3.1900744915008543,0.1993405818939209,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,1,32,3,3,0.7281367778778076,0.20640714963277182,0.2000721295674642,0.006335020065307617,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,2,32,5,3,18.364989519119263,3.66841344833374,3.454271984100342,0.21414146423339844,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,2,32,3,3,0.6741549968719482,0.18762660026550293,0.18169426918029785,0.005932331085205078,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,3,32,5,3,17.354321002960205,3.466155672073364,3.2834731101989747,0.18268256187438964,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,3,32,3,3,0.794410228729248,0.22837130228678384,0.22208189964294434,0.0062894026438395185,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,0,False,False,1234,4,32,5,3,16.66405487060547,3.3280692100524902,3.1211869716644287,0.20688223838806152,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,0,False,False,1234,4,32,3,3,0.6795451641082764,0.18997836112976074,0.18359224001566568,0.006386121114095052,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,0,32,5,3,31.27765464782715,6.218903684616089,2.580820178985596,3.638083505630493,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,0,32,3,3,1.596886157989502,0.5007887681325277,0.17303204536437988,0.32775672276814777,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,1,32,5,3,14.546763181686401,2.873590278625488,2.4136430263519286,0.4599472522735596,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,1,32,3,3,0.7881908416748047,0.21076385180155435,0.19921406110127768,0.011549790700276693,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,2,32,5,3,14.675188541412354,2.9001564979553223,2.443653440475464,0.4565030574798584,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,2,32,3,3,0.8768436908721924,0.21837989489237467,0.20810906092325845,0.010270833969116211,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,3,32,5,3,15.58244776725769,3.0781250953674317,2.6208878993988036,0.45723719596862794,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,3,32,3,3,0.8005056381225586,0.19273988405863443,0.1826807657877604,0.010059118270874023,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
HDF5 - ,mobilenet_v2,4,False,False,1234,4,32,5,3,14.205877304077148,2.8043352127075196,2.3423337936401367,0.4620014190673828,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
validate - HDF5 - ,mobilenet_v2,4,False,False,1234,4,32,3,3,0.7796025276184082,0.20342532793680826,0.19124555587768555,0.01217977205912272,/network/scratch/o/ortizgas/transit_datasets//drd_hdf5_folds/diabetic-retinopathy-detection.h5
